,title,url,answers,tags,highlights
0,Acceptance test execution strategies for heavy first-time-setup apps,https://softwareengineering.stackexchange.com/questions/335985,['https://softwareengineering.stackexchange.com/a/335993'],"['DB Management > Cleanup > Cleanup before each test (known state)', 'DB Management > Preparation > Seeding the minimum needed for the concerned test']","['{0:Consider only seeding the absolute minimum that the particular test case requires to run.}', '{1:setting up the state before each test}']"
1,Accessing localStorage in Protractor test for AngularJS application,http://www.stackoverflow.com/questions/21960598,['https://stackoverflow.com/a/28616326'],"['Test Code > API > Use specific API', 'Test Code > Code example > Code example provided']",[None]
2,Am I just not understanding TDD unit testing (Asp.Net MVC project)?,http://www.stackoverflow.com/questions/2867798,"['https://stackoverflow.com/a/2867834', 'https://stackoverflow.com/a/2873534', 'https://stackoverflow.com/a/3388232']","['Concepts > Coverage > 100% coverage is not possible', 'DB Management > Cleanup > Cleanup before each test (known state)', 'Environment > Configuration > General recommendation > Recommend specific library/configuration', 'Environment > Tool > Unit Testing > Use DbUnit', 'Mocking > When > Use Mocking', 'Structure/Design > Testability > Design with single responsibility']","['{0:As far as database testing is concerned it is no longer unit tests but integration tests.}', '{1:. The idea is that before every test is run, it puts the database in a known state. And it does this automatically in the setup/teardown of your tests.}', '{2:Testing is not about 100% coverage. }', '{3:. Just try to design your application in such a way that each class has a single responsibility}']"
3,Am I Unit Testing or Integration Testing my Stored Procedures?,https://softwareengineering.stackexchange.com/questions/81801,"['https://softwareengineering.stackexchange.com/a/81812', 'https://softwareengineering.stackexchange.com/a/81819', 'https://softwareengineering.stackexchange.com/a/81830']","['Characteristics > Deterministic > Minimise moving parts to avoid non-deterministic tests', 'DB Management > Cleanup > Populate once, and rollback changes before each test', 'DB Management > Cleanup > Populate once and use MERGE statement to remove/insert/update unwanted data', 'DB Management > Test DB > Use local DB so the DB environment does not affect the tests', 'Environment > Tool > Unit Testing > Use SSDT (SQL Server Data Tools) unit tests', 'Structure/Design > Testability > Break the procedures (db/code) down to smaller parts']","['{0:My solution was to evolve a framwork that executes the stored procedures inside a transaction, after initializing the database to the initial conditions I needed, then testing for the expected result, also within the same transaction. The transaction was rolled back at the end of the test.}', '{1:On my current project, I have begun using SSDT unit tests}', '{2:These typically deploy the database project to your instance of SQL Server LocalDB, so this removes any question about the database environment affecting the test.}', ""{3:I use MERGE statements to do this, ensuring that any data I don't need for the current test is removed, inserted or updated from the database before the test.}"", '{4:If you feel the procedures are too complex, you may well want to break them themselves into smaller parts}', '{5:The more moving parts you have the higher the risk of having a non-deterministic test.}']"
4,Android Unit Tests Requiring Context,http://www.stackoverflow.com/questions/2095695,"['https://stackoverflow.com/a/2095761', 'https://stackoverflow.com/a/37351386', 'https://stackoverflow.com/a/56514421']","['Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'Test Code > API > Android > Use AndroidTestCase', 'Test Code > API > InstrumentationRegistry']","['{0:use InstrumentationRegistry metho}', '{1: to AndroidTestCase. }', '{2:Your test is not a Unit test!!!}', '{3:not writing a unit test.}']"
5,Are DDD aggregates a good boundary for unit testing?,https://softwareengineering.stackexchange.com/questions/311832,"['https://softwareengineering.stackexchange.com/a/311840', 'https://softwareengineering.stackexchange.com/a/312164']",['DB Management > Test DB > Use a test database with test data'],"['{0:Tests are executable specification.}', '{1:Either use the existing, public interface, reusing your aggregates for the test data, or you can create an artifical interface just for testing purposes, which duplicates the whole data of your aggregates}']"
6,Are HSQLDB unit tests an anti pattern?,https://softwareengineering.stackexchange.com/questions/228531,"['https://softwareengineering.stackexchange.com/a/229257', 'https://softwareengineering.stackexchange.com/a/229265', 'https://softwareengineering.stackexchange.com/a/229920']","['Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'Environment > In-Memory DB > Generic recommendation > Use in memory database', 'Mocking > When > Mocking the DB is bad practice, use integration/acceptance test', 'Structure/Design > Coupling > With DB > Inversion of control', 'Structure/Design > Design Patterns > Use dependency injection']","['{0: a proper unit-test for your DAO would be developed by passing to it a concrete mocked implementation }', '{1:Mocking the DB is a bad practice}', '{2:If a test requires DB, it is not the unit test. It is either integration or acceptance test.}', '{3:But you could also develop and test it against an in-memory database with less overhead}']"
7,Are there any security test plugins for rails?,http://www.stackoverflow.com/questions/757318,"['https://stackoverflow.com/a/760616', 'https://stackoverflow.com/a/775987', 'https://stackoverflow.com/a/776033']",['Environment > Tool > Vulnerability Testing > Vulnerability Testing'],[None]
8,At which architecture level are you running BDD tests (e.g. Cucumber),https://softwareengineering.stackexchange.com/questions/38966,"['https://softwareengineering.stackexchange.com/a/177613', 'https://softwareengineering.stackexchange.com/a/39201']","['Concepts > Definitions > Testing Triangle', 'Process > Testing > Manual UI Testing']","['{0:the testing triangle in m}', '{1:UI testing as manual}', '{2:unit tests}']"
9,Azure: Best Practice for Testing in a Staging Environment with Code First Migrations,http://www.stackoverflow.com/questions/11319577,"['https://stackoverflow.com/a/11320870', 'https://stackoverflow.com/a/32799674']",['IRRELEVANT ANSWER'],[None]
10,"Basic Unit Test of Application Service, setup and cleanup methods",https://codereview.stackexchange.com/questions/234960,['https://codereview.stackexchange.com/a/234967'],"['Concepts > Scope > Test it > Test data as well and not just counts', 'Structure/Design > Design Patterns > Use template interfaces for all repositories, so the mock implements that interface']","['{0:What I mean is if you had a template interface for all repositories, maybe you might need just one template implementation of the fake.}', '{1: I suggest you also test the items data, not just their count, because picking the data from command and passing them to the repository is responsibility of the service and thus should be subject of this test.}']"
11,Beginning Automated Testing,http://www.stackoverflow.com/questions/12907080,"['https://stackoverflow.com/a/12907368', 'https://stackoverflow.com/a/12907393']","['Concepts > Coverage > Cover all corners', 'Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'Concepts > Scope > Test it > Localization', 'Concepts > Scope > Test it > Performance', 'Concepts > Scope > Test it > Regular input', 'Concepts > Scope > Test it > Stress test', 'Concepts > Scope > Test it > UI', 'Environment > Tool > Unit Testing > Use a unit test framework', 'Environment > Use Real DB > SQLite > Faster tests > Use SQLite for integration tests']","['{0:purpose of automated testing}', '{10:localization}', '{11:UI,}', '{12:There should be a few tests for the normal cases and a few more for the border cases.}', '{13:I think you can use some file system based db like SQLite3.}', '{1:The purpose is }', '{2:describe the methods of testin}', '{3:unit testing}', '{4:write unit tests}', '{5:libraries out there that can be used for uni}', '{6:stress}', '{7:performance}', '{8:border cases}', '{9:regular input}']"
