,name,artefacts
0,Characteristics > Atomic > Atomic tests,2
1,Characteristics > Atomic > Shouldn't call tests inside tests,1
2,Characteristics > Atomic > Test should focus on one thing,2
3,Characteristics > Compliant > Test should meet specifications,2
4,Characteristics > Consistent > Stateless,1
5,Characteristics > Consistent > Tests should leave the DB in a consistent state,2
6,Characteristics > Deterministic > Minimise moving parts to avoid non-deterministic tests,1
7,Characteristics > Deterministic > Tests should be deterministic,2
8,Characteristics > Fast > Fast (Unit Test),1
9,Characteristics > Isolated/Independent > Assume that the external component works fine,1
10,Characteristics > Isolated/Independent > Avoid connecting to production db,3
11,Characteristics > Isolated/Independent > Avoid relying on test order,1
12,Characteristics > Isolated/Independent > Decouple tests from implementation,2
13,Characteristics > Isolated/Independent > Keep tests independent,1
14,Characteristics > Isolated/Independent > Unit test should be independent / isolated,7
15,Characteristics > Isolated/Independent > Unit tests shoudn't touch an actual database,1
16,Characteristics > Isolated/Independent > Unit tests should not be dependent upon external state,1
17,Characteristics > Isolated/Independent > Use plain queries instead of external functions,1
18,Characteristics > Maintainable > Avoid brittle unit tests,1
19,Characteristics > Maintainable > Maintainable tests,1
20,Characteristics > Paralysable > Unit tests should be runnable in parallel,2
21,Characteristics > Repeatable > Repeatable tests,5
22,Characteristics > Repeatable > Test against the same data when optimizing query,1
23,Characteristics > Self-explaining > Assumptions on existings records should be obvious,2
24,Characteristics > Self-explaining > Have descriptive names,1
25,Characteristics > Self-explaining > Intuitive test case names,1
26,Characteristics > Simple > Avoid loops,1
27,Characteristics > Simple > Avoid too complicated fixtures,1
28,Characteristics > Small > Make small tests,2
29,Characteristics > Up-to-date > Keep test DB in sync with production DB to avoid testing stale/outdated data,2
30,Concepts > Book > Book recommendation,7
31,Concepts > Coverage > 100% coverage is not possible,6
32,Concepts > Coverage > Aim at 100% of the DAO layer,1
33,Concepts > Coverage > Cover all corners,5
34,Concepts > Coverage > Cover critical execution paths,1
35,"Concepts > Coverage > No textbook rule, each coverage rate acceptable depends on the situation",1
36,Concepts > Coverage > Test border cases,1
37,Concepts > Coverage > Test everything you can test,1
38,"Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests",32
39,Concepts > Definitions > Feature tests,1
40,Concepts > Definitions > Integration tests involves real database,5
41,"Concepts > Definitions > Isolation can cost too much (unit test), do integration test",1
42,Concepts > Definitions > Maintaining test data,1
43,Concepts > Definitions > Managing schema,1
44,Concepts > Definitions > No side effect and isolated = unit test,3
45,Concepts > Definitions > Schema tests,1
46,Concepts > Definitions > Security tests,1
47,Concepts > Definitions > Stock data tests,1
48,Concepts > Definitions > Stubs vs Mocks,1
49,Concepts > Definitions > TDD has to be unit tests rather than integration tests,1
50,Concepts > Definitions > Testing Triangle,1
51,Concepts > Definitions > There is no point in unit testing it,1
