"title","url","site","stackexchange_tags","score","tags"
"Unit testing data access objects","https://softwareengineering.stackexchange.com/questions/47719","softwareeng","<unit-testing><database-development><tdd>","6","Best Practices,Test/Validate ... > Persistence/DAO Layer"
"What are some best practices for populating and using a test database?","https://softwareengineering.stackexchange.com/questions/94957","softwareeng","<java><database><unit-testing><orm><tests>","8","Best Practices,DB Population,Test/Validate ... > Persistence/DAO Layer"
"Do you really have to do BDD/TDD in a test first manner?","https://softwareengineering.stackexchange.com/questions/22249","softwareeng","<unit-testing><tdd>","11","FP"
"Why do we write mock objects when writing unit test cases?","https://softwareengineering.stackexchange.com/questions/61366","softwareeng","<unit-testing>","10","Mocking,Test/Validate ... > Persistence/DAO Layer,Use Mocking vs Test DB"
"TDD: What happens before the first unit test?","https://softwareengineering.stackexchange.com/questions/84252","softwareeng","<design><tdd>","18","FP"
"What are questions to test a programmers knowledge of SQL?","https://softwareengineering.stackexchange.com/questions/10899","softwareeng","<sql><hiring>","14","FP"
"How and when to use UNIT testing properly","https://softwareengineering.stackexchange.com/questions/89064","softwareeng","<programming-languages><testing><unit-testing><ios>","7","FP"
"Why is testing MVC Views frowned upon?","https://softwareengineering.stackexchange.com/questions/33909","softwareeng","<unit-testing><asp.net-mvc>","23","FP"
"What can you do about the quality of existing integration and unit tests while being the new guy in a team ?","https://softwareengineering.stackexchange.com/questions/106675","softwareeng","<unit-testing><team><refactoring><bad-code><integration-tests>","21","FP"
"Should each unit test be able to be run independently of other tests?","https://softwareengineering.stackexchange.com/questions/64306","softwareeng","<testing><unit-testing><tdd>","24","Best Practices,Test Isolation"
"Databases and Unit/Integration Testing","https://softwareengineering.stackexchange.com/questions/101273","softwareeng","<web-development><database><unit-testing><integration-tests>","25","Best Practices,Clear DB Before Tests,DB Population"
"Unit testing vs Integration Testing","https://softwareengineering.stackexchange.com/questions/101300","softwareeng","<web-development><database><unit-testing><integration-tests>","11","Best Practices,Unit Testing vs Integration Testing for DB Application"
"Non-transactional Database and Integration Testing","https://softwareengineering.stackexchange.com/questions/101564","softwareeng","<testing><database><integration-tests>","8","Parallelize Tests Accessing a Single DB"
"Do we need test data or can we rely on unit tests and manual testing?","https://softwareengineering.stackexchange.com/questions/113441","softwareeng","<testing><unit-testing><quality><manual-testing>","10","Best Practices,Manage Test Data,Rely on Tests Without Data"
"Am I Unit Testing or Integration Testing my Stored Procedures?","https://softwareengineering.stackexchange.com/questions/81801","softwareeng","<database><unit-testing>","8","Test/Validate ... > Stored Procedures,Unit Testing vs Integration Testing for DB Application,Use In-Memory DB vs Local Test DB"
"Data Quality in Relational Database Regression Tests","https://softwareengineering.stackexchange.com/questions/162242","softwareeng","<testing><relational-database>","9","Best Practices"
"How to organize unit/integration test in BDD","https://softwareengineering.stackexchange.com/questions/165623","softwareeng","<python><tdd><bdd><cucumber>","6","Best Practices"
"What are tangible advantages to proper Unit Tests over Functional Test called unit tests","https://softwareengineering.stackexchange.com/questions/180026","softwareeng","<unit-testing>","9","FP"
"Why does automated testing keep failing in my company?","https://softwareengineering.stackexchange.com/questions/185819","softwareeng","<unit-testing><tdd><test-automation>","181","FP"
"What should I mock in tests of an application with service tier and DAO tier?","https://softwareengineering.stackexchange.com/questions/118933","softwareeng","<java><unit-testing><mocking><junit>","8","Mocking,Test/Validate ... > Persistence/DAO Layer"
"Never written much unit tests, how can I practice more of it?","https://softwareengineering.stackexchange.com/questions/128859","softwareeng","<java><unit-testing><debugging>","7","Best Practices,Test/Validate ... > Queries"
"Unit testing - Database coupled app","https://softwareengineering.stackexchange.com/questions/138238","softwareeng","<unit-testing>","15","Best Practices"
"Unit Testing DatabaseOpenHelper class in Android","https://softwareengineering.stackexchange.com/questions/180953","softwareeng","<database><unit-testing><android>","7","Test/Validate ... > DB Creation,Test/Validate ... > Migrations,Test/Validate ... > Models"
"How to create scalable &amp; side-effect free integration tests?","https://softwareengineering.stackexchange.com/questions/115455","softwareeng","<integration-tests><side-effect>","14","DB Population"
